,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,200.0,US,Present,2014.0,Arcadia University,,
0,201.0,US,Present,Present,Drew University,,
1,201.0,US,Present,1988,Drew University,,1984.0
0,202.0,US,Present,Present,University of Alaska Fairbanks,,
1,202.0,US,Present,2008,University of Alaska Fairbanks,,2006.0
0,203.0,IE,Present,Present,"Institute of Technology, Sligo",,
1,203.0,IE,Present,Present,Limerick Institute of Technology,,
2,203.0,IE,Present,Present,University College Cork,,
3,203.0,IE,Present,2017,University College Cork,,2015.0
4,203.0,IE,Present,1992,Limerick Institute of Technology,,1991.0
5,203.0,IE,Present,2007,"Institute of Technology, Sligo",,2005.0
0,204.0,,Present,Present,Dr. Edith Stein Mavo,,
1,204.0,,Present,Present,ADR / hazardous materials training,,
2,204.0,,Present,1992,MEAO - Financial,,1989.0
3,204.0,,Present,Present,Dr. Edith Stein Mavo,,
4,204.0,,Present,Present,ADR / hazardous materials training,,
5,204.0,,Present,1992,MEAO - Financial,,1989.0
0,205.0,GB,Present,Present,Sheffield International College,,
1,205.0,GB,Present,Present,The Open University,,
2,205.0,GB,Present,2011,The Open University,,2011.0
3,205.0,GB,Present,2010,Sheffield International College,,2010.0
0,206.0,CA,Present,Present,Vancouver Film School,,
1,206.0,MY,Present,2003,LimKokWing University/College,,2000.0
2,206.0,CA,Present,2006,Vancouver Film School,,2006.0
3,206.0,CA,Present,2004,Vancouver Film School,,2003.0
0,207.0,CA,Present,Present,University of Alberta,,
1,207.0,CA,Present,Present,University of Regina,,
2,207.0,CA,Present,2006,University of Alberta,,2004.0
3,207.0,CA,Present,2004,University of Regina,,2000.0
0,208.0,SG,Present,Present,Nanyang Technological University,,
1,208.0,SG,Present,1996,Nanyang Technological University,,1993.0
0,209.0,US,Present,Present,Stanford University,,
1,209.0,US,Present,Present,University of Illinois at Chicago,,
2,209.0,US,Present,Present,University of Illinois at Chicago,,
3,209.0,US,Present,Present,Stanford University,,
0,210.0,IT,Present,Present,UniversitÃ  degli Studi di Roma Tre,,
1,210.0,IT,Present,2005,UniversitÃ  degli Studi di Roma Tre,,2001.0
0,211.0,PT,Present,Present,Instituto Superior de LÃ­nguas e AdministraÃ§Ã£o,,
0,212.0,US,Present,Present,San Jose State University,,
1,212.0,US,Present,1999,San Jose State University,,1993.0
0,213.0,IN,Present,2004,PVPP,,2000.0
1,213.0,US,Present,2005,UMR,,2004.0
0,214.0,US,Present,Present,"California State University, Chico",,
1,214.0,US,Present,Present,"California State University, Chico",,
0,215.0,US,Present,Present,Drexel University College of Medicine,,
1,215.0,US,Present,2005,Albright College,,2003.0
2,215.0,US,Present,2016,Drexel University College of Medicine,,2014.0
3,215.0,US,Present,2003,Montgomery County Community College,,1999.0
0,216.0,IN,Present,Present,"Sydenham Institute of Management Studies, Research and Entrepreneurship Education",,
1,216.0,IN,Present,Present,"College of Engineering, Karad",,
2,216.0,IN,Present,Present,"College of Engineering, Karad",,
0,217.0,US,Present,Present,Georgia Institute of Technology,,
1,217.0,US,Present,Present,University of Florida,,
2,217.0,LB,Present,Present,American University of Beirut,,
3,217.0,LB,Present,2008,American University of Beirut,,2006.0
4,217.0,US,Present,2013,University of Florida,,2009.0
5,217.0,US,Present,Present,Georgia Institute of Technology,,2013.0
0,218.0,US,Present,Present,University of Illinois at Urbana-Champaign,,
1,218.0,US,Present,2008,University of Illinois at Urbana-Champaign,,2004.0
0,220.0,GB,Present,Present,Inverness College,,
1,220.0,GB,Present,Present,Inverness College,,
0,221.0,IN,Present,Present,North Maharashtra University,,
1,221.0,US,Present,Present,San Jose State University,,
2,221.0,IN,Present,2007,North Maharashtra University,,2003.0
3,221.0,US,Present,2007,San Jose State University,,2004.0
0,222.0,CN,Present,Present,Hebei University of Technology,,
1,222.0,US,Present,Present,New York University,,
2,222.0,CN,Present,Present,Hebei University of Technology,,
3,222.0,US,Present,2014,New York University,,2012.0
0,223.0,US,Present,Present,"University of Massachusetts, Amherst",,
1,223.0,US,Present,Present,Bentley College - Elkin B. McCallum Graduate School of Business,,
0,224.0,ES,Present,Present,Universitat Rovira i Virgili,,
1,224.0,ES,Present,2010,Universitat Rovira i Virgili,,2005.0
0,225.0,GB,Present,Present,The University of Manchester,,
1,225.0,GB,Present,2001,The University of Manchester,,1998.0
0,227.0,US,Present,Present,DigiPen Institute of Technology,,
1,227.0,US,Present,2011,Digipen Institute of Technology,,2006.0
0,228.0,PH,Present,Present,University of Santo Tomas,,
0,229.0,IN,Present,Present,Bharathiar University,,
1,229.0,IN,Present,Present,Bharathiar University,,
0,230.0,US,Present,Present,University of Florida,,
1,230.0,IN,Present,Present,University of Mumbai,,
2,230.0,IN,Present,2007,University of Mumbai,,2003.0
3,230.0,US,Present,2010,University of Florida,,2009.0
0,231.0,US,Present,Present,UC Irvine,,
1,231.0,US,Present,2004,"University of California, Irvine",,
0,232.0,US,Present,Present,Computer Systems Institute,,
1,232.0,EG,Present,2019,"Engineering Technician, Cairo University, Egypt",,2015.0
2,232.0,US,4,2012,Computer Systems Institute,,
3,232.0,US,Present,1997,Higher School,,1994.0
0,234.0,IR,Present,Present,Sharif University of Technology,,
1,234.0,CA,Present,Present,The University of British Columbia,,
2,234.0,IR,Present,2009,Sharif University of Technology,,2004.0
3,234.0,CA,Present,2012,The University of British Columbia / UBC,,2009.0
0,235.0,US,Present,Present,Columbia University in the City of New York,,
1,235.0,US,Present,Present,"University of California, Davis",,
2,235.0,US,Present,2015,"University of California, Davis",,2011.0
3,235.0,US,Present,2016,Columbia University in the City of New York,,2015.0
0,236.0,US,Present,Present,"University of Massachusetts, Amherst",,
1,236.0,US,Present,Present,"University of Massachusetts, Amherst",,
2,236.0,US,Present,Present,Martha's Vineyard Regional High School,,
0,238.0,IE,Present,Present,National College of Ireland,,
1,238.0,IE,Present,2001,National College of Ireland,,1999.0
2,238.0,IE,Present,2004,National College of Ireland,,2001.0
3,238.0,,Present,1999,Ballyfermot SC,,1998.0
0,239.0,HR,Present,Present,University of Zagreb/Sveuciliste u Zagrebu,,
1,239.0,HR,Present,Present,University of Zagreb,,
2,239.0,RS,Present,2012,COTRUGLI BUSINESS SCHOOL,,2010.0
3,239.0,HR,Present,Present,University of Zagreb,,
0,240.0,US,Present,Present,California State University-Dominguez Hills,,
1,240.0,US,Present,2011,California State University-Dominguez Hills,,2008.0
0,241.0,US,Present,Present,Western Washington University,,
1,241.0,US,Present,2009,Western Washington University,,2004.0
0,242.0,FR,Present,Present,Ecole centrale de Lyon,,
1,242.0,FR,Present,2012,Ecole centrale de Lyon,,2009.0
2,242.0,,Present,2009,Pothier OrlÃ©ans,,2007.0
3,242.0,FR,Present,2007,LycÃ©e Sainte Croix Saint Euverte OrlÃ©ans,,2004.0
0,243.0,US,Present,Present,Texas State University,,
1,243.0,US,Present,2014,Texas State University-San Marcos,,2010.0
2,243.0,US,Present,Present,Lone Star College System-Montgomery,,
0,244.0,IN,Present,Present,AIM Education & Training,,
1,244.0,NZ,Present,Present,University of Otago,,
2,244.0,AU,Present,2015,Australian Institute of Management,,2015.0
3,244.0,NZ,Present,2005,University of Otago,,2002.0
4,244.0,NZ,Present,2001,The Taieri High School,,1997.0
0,245.0,IN,Present,Present,Punjab Technical University,,
1,245.0,US,Present,Present,Northeastern University,,
2,245.0,IN,Present,2006,Punjab Technical University,,2002.0
3,245.0,US,Present,2012,Northeastern University,,2010.0
0,246.0,US,Present,Present,"University of California, Berkeley",,
1,246.0,US,Present,Present,"University of California, Berkeley",,
0,247.0,,Present,Present,Plovdivski universitet 'Paisii Hilendarski'â,,
1,247.0,,Present,1981,"Nursing Medical College, Burgas",,1979.0
2,247.0,,Present,1989,Plovdivski universitet 'Paisii Hilendarski'â,,1985.0
0,248.0,US,Present,Present,Stony Brook University,,
1,248.0,US,Present,Present,University of Pennsylvania,,
2,248.0,US,Present,1974,State University of New York Downstate Medical Center College of Nursing,,1972.0
3,248.0,US,Present,1976,University of Pennsylvania,,1974.0
4,248.0,US,Present,1972,Stony Brook University,,1970.0
0,249.0,,Present,2008,"Maria Curie SkÅodowska University in Lublin, Poland",,2006.0
1,249.0,GB,Present,2009,"Middlesex University, London",,2008.0
2,249.0,,Present,2008,"Maria Curie SkÅodowska University in Lublin, Poland",,2003.0
0,251.0,FR,Present,2000,IUP Genie Mecanique (Evry),,1998.0
1,251.0,FR,Present,Present,University Evry (France),,
0,253.0,US,Present,Present,Worcester Polytechnic Institute,,
1,253.0,US,Present,Present,University of Phoenix,,
2,253.0,US,Present,Present,Worcester Polytechnic Institute,,
3,253.0,US,Present,1993,University of Phoenix,,1991.0
0,254.0,DZ,Present,1995,"University of Tizi-Ouzou, Algeria ",,1990.0
1,254.0,DZ,Present,1993,UniversitÃ© de Tizi-Ouzou,,1990.0
2,254.0,DZ,Present,2005,UniversitÃ© Mouloud Mammeri Tizi-Ouzou,,2004.0
0,255.0,IN,Present,Present,Acharya Nagarjuna University,,
1,255.0,IN,Present,2004,Acharya Nagarjuna University,,2000.0
0,256.0,US,Present,2011,Lenoir-Rhyne University,,2007.0
1,256.0,US,Present,Present,BHHS,,
0,257.0,IN,Present,Present,Doctor Babasaheb Ambedkar Marathwada University,,
1,257.0,IN,Present,Present,SB College of Science,,
2,257.0,IN,Present,1998,Doctor Babasaheb Ambedkar Marathwada University,,1994.0
