,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
0,600.0,US,1,2013,San Francisco,AdRoll.com,7.0,2012.0
1,600.0,US,7,2012,San Francisco,Expedia,2.0,2012.0
2,600.0,US,2,2015,San Francisco,AdRoll,2.0,2014.0
3,600.0,US,2,2014,San Francisco,AdRoll,1.0,2013.0
4,600.0,US,Present,Present,,AdRoll,2.0,2015.0
0,601.0,US,Present,Present,"Cupertino, California",Apple,1.0,2015.0
1,601.0,US,2,2008,,Stadco,10.0,2007.0
2,601.0,US,3,2012,,MillenWorks,9.0,2008.0
3,601.0,US,9,2014,"Fontana, CA",S&B Filters,2.0,2012.0
4,601.0,US,5,2008,,CACO PACIFIC Corporation,3.0,2008.0
0,602.0,US,12,2009,"Austin, Texas Area",Dell Inc.,1.0,2007.0
1,602.0,US,12,2006,"Austin, Texas Area",Dell Inc.Aus,5.0,2005.0
2,602.0,US,11,2013,Greater Chicago Area,Dell Inc.,8.0,2013.0
3,602.0,US,Present,Present,"Mountain View, California",Google,12.0,2013.0
4,602.0,US,7,2013,"Chicago, Illinois",Dell,1.0,2010.0
0,603.0,US,Present,Present,"Somerville, Massachusetts",OHO Interactive,11.0,2015.0
1,603.0,US,9,2014,Greater Boston Area,Tree In the City,6.0,2014.0
2,603.0,US,5,2014,,Council for Accreditation in Occupational Hearing Conservation,12.0,2013.0
3,603.0,US,10,2015,"Boston, Massachusetts",Genuine Interactive,2.0,2015.0
4,603.0,US,12,2014,Greater Boston Area,General Assembly,9.0,2014.0
5,603.0,US,10,2016,,Code for America,10.0,2016.0
0,604.0,IL,Present,2001,Israel,IBM Global Services,,1999.0
1,604.0,US,Present,Present,San Francisco Bay Area,Hewlett Packard Enterprise,1.0,2015.0
2,604.0,IL,8,2012,Israel,HP,7.0,2009.0
3,604.0,US,Present,Present,San Francisco Bay Area,HP Software,9.0,2012.0
4,604.0,IL,8,2012,Israel,HP,11.0,2001.0
0,605.0,US,8,2015,San Francisco Bay Area,Sugar Digital,8.0,2013.0
1,605.0,US,8,2015,San Francisco Bay Area,The North Face,8.0,2013.0
2,605.0,US,Present,Present,"Mountain View, CA",Beyond at Google,2.0,2016.0
3,605.0,US,8,2015,"Emeryville, CA",Title Nine,12.0,2008.0
4,605.0,US,2,2016,"Mountain View, CA",Google,8.0,2015.0
5,605.0,US,Present,Present,,CIty College of San Francisco Board,9.0,2015.0
0,606.0,CA,8,2010,"Markham, Ont.",IBM Canada Ltd.,5.0,2009.0
1,606.0,CA,7,2015,"Toronto, Canada Area",Bibliocommons,9.0,2011.0
2,606.0,CA,Present,Present,"Toronto, Canada Area",BiblioCommons,7.0,2015.0
0,607.0,US,Present,Present,,"iHomefinder, Inc.",,2010.0
1,607.0,US,1,2004,san francisco,Blue Dot,1.0,2001.0
2,607.0,US,Present,2006,,"AAA Northern California, Nevada & Utah Insurance Exchange",,2004.0
3,607.0,US,Present,Present,"Berkeley, California","iHomefinder, Inc.",6.0,2014.0
4,607.0,US,Present,2010,,DigitalGlobe,,2006.0
0,608.0,IE,Present,Present,"Limerick, Ireland",Dell,9.0,2010.0
1,608.0,IE,9,2010,Limerick,Dell,2.0,2008.0
