,cand_id,name,proficiency
0,603.0,Arabic,LIMITED_WORKING
0,604.0,English,FULL_PROFESSIONAL
0,606.0,English,NATIVE_OR_BILINGUAL
0,609.0,English,FULL_PROFESSIONAL
0,614.0,English,FULL_PROFESSIONAL
0,620.0,English,NATIVE_OR_BILINGUAL
0,621.0,English,FULL_PROFESSIONAL
0,641.0,Dutch,NATIVE_OR_BILINGUAL
0,642.0,Chinese,NATIVE_OR_BILINGUAL
0,645.0,German,NATIVE_OR_BILINGUAL
0,650.0,Afrikaans,NATIVE_OR_BILINGUAL
0,655.0,English,PROFESSIONAL_WORKING
0,657.0,Chinese,FULL_PROFESSIONAL
0,660.0,English,FULL_PROFESSIONAL
0,663.0,English,NATIVE_OR_BILINGUAL
0,671.0,Chinese,NATIVE_OR_BILINGUAL
0,674.0,Cantonese,LIMITED_WORKING
0,679.0,English,PROFESSIONAL_WORKING
0,682.0,English,NATIVE_OR_BILINGUAL
0,683.0,English,FULL_PROFESSIONAL
0,685.0,English,NATIVE_OR_BILINGUAL
0,686.0,English,NATIVE_OR_BILINGUAL
0,697.0,Chinese,NATIVE_OR_BILINGUAL
