,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
0,801.0,US,2,2013,"Berwyn, PA",PVigilant LLC,2.0,2011.0
1,801.0,US,Present,Present,"Cherry Hill, NJ",Actelion,10.0,2013.0
2,801.0,US,2,2011,"Bowie, MD",MedAssurant (now Inovalon),10.0,2010.0
3,801.0,US,6,2013,,Teva Pharmaceuticals,3.0,2013.0
4,801.0,US,10,2013,"Princeton, NJ",Novo Nordisk,7.0,2013.0
0,802.0,US,Present,Present,San Francisco Bay Area,"Okta, Inc.",2.0,2016.0
1,802.0,US,11,2012,"San Mateo, CA",Keynote Systems,2.0,2006.0
2,802.0,US,1,2015,San Francisco Bay Area,Keynote Systems,11.0,2012.0
3,802.0,US,2,2016,San Francisco Bay Area,Splunk,1.0,2015.0
4,802.0,US,Present,Present,,"Okta, Inc.",,
0,803.0,US,Present,Present,Malakoff,SPIE Communications,6.0,2005.0
1,803.0,FR,10,1990,,Econocom Maintenance,10.0,1987.0
2,803.0,FR,6,2005,,FAST Services et Informatique,10.0,1990.0
3,803.0,FR,Present,Present,Rungis,SPIE Communications,1.0,2013.0
0,804.0,US,8,2007,"San Francisco, CA",Ingenio,7.0,2004.0
1,804.0,US,9,2003,"Redmond, WA",Microsoft,6.0,2003.0
2,804.0,US,9,2014,"Mountain View, CA",Google,7.0,2008.0
3,804.0,US,Present,Present,"Mountain View, CA",Quora,9.0,2014.0
0,805.0,US,3,2015,San Mateo,Rumble,10.0,2013.0
1,805.0,US,8,2012,"Palo Alto, CA",Onlive,5.0,2008.0
2,805.0,US,Present,Present,,Lattice Engines,4.0,2015.0
3,805.0,US,5,2008,,Webroot Software,6.0,2007.0
4,805.0,US,9,2013,"Sunnyvale, ca",Phoenix 2.0. Inc.,8.0,2012.0
5,805.0,,8,2012,,ASVARO,8.0,2012.0
6,805.0,,1,2010,,SVECS,1.0,2010.0
7,805.0,US,1,2010,,Ham Radio VE,1.0,2010.0
0,806.0,US,Present,Present,"San Francisco, CA",Self,4.0,2011.0
1,806.0,US,4,2011,,GreenRoad,4.0,2010.0
2,806.0,US,4,2010,,"BabyCenter, LLC",6.0,2007.0
3,806.0,US,Present,Present,"San Francisco, California",Udemy,2.0,2016.0
4,806.0,US,5,2013,San Francisco Bay Area,GreatSchools,5.0,2012.0
0,807.0,US,Present,Present,,Thales e-Security,2.0,2010.0
1,807.0,US,6,2009,,MontaVista Software,4.0,2007.0
2,807.0,GB,Present,2006,,Sun Microsystems,,1996.0
3,807.0,US,Present,Present,"Cupertino, California",The Bay Club Company,8.0,2012.0
4,807.0,US,Present,Present,San Francisco Bay Area,Thales e-Security,2.0,2010.0
0,808.0,US,Present,Present,San Francisco Bay Area,Walmart eCommerce,7.0,2015.0
1,808.0,US,5,2012,San Francisco Bay Area,The Clorox Company,11.0,2011.0
2,808.0,US,7,2015,,Walmart eCommerce,8.0,2014.0
3,808.0,US,8,2014,San Francisco Bay Area,AIKO Agency,4.0,2014.0
0,809.0,SE,6,2016,"Skane County, Sweden",Kvadrat AB,11.0,2015.0
1,809.0,SE,4,2014,"Lund, Sweden",Sony Mobile Communications,2.0,2012.0
2,809.0,SE,Present,Present,,Addable AB,11.0,2015.0
3,809.0,SE,Present,Present,"Helsingborg, Sweden",IKEA IT,11.0,2015.0
4,809.0,SE,9,2015,"Lund, Sweden",Sony Mobile Communications,4.0,2014.0
0,810.0,GB,4,2015,,Aldermore Bank PLC,8.0,2013.0
1,810.0,,Present,Present,,Harrods Bank Limited,2.0,2016.0
2,810.0,GB,2,2016,,Aldermore Bank PLC,3.0,2015.0
3,810.0,GB,12,2011,"London, United Kingdom",Lloyds Banking Group - Group IT,6.0,2011.0
4,810.0,GB,8,2013,"London, United Kingdom",Lloyds Banking Group - Group IT,12.0,2011.0
0,811.0,GB,Present,Present,"London, United Kingdom",MetaPack Group,10.0,2016.0
1,811.0,ES,2,2014,"Sevilla Area, Spain",Universidad de Sevilla,1.0,2013.0
2,811.0,GB,10,2016,"London, United Kingdom",British Medical Association,7.0,2015.0
3,811.0,PL,2,2015,"Warsaw Area, Poland",Webellian,2.0,2014.0
4,811.0,GB,7,2015,"London, United Kingdom",TUI Group,2.0,2015.0
0,812.0,US,Present,Present,,"FireEye, Inc.",10.0,2015.0
1,812.0,US,12,2006,,Pegasus Solutions,11.0,2006.0
2,812.0,US,7,2006,"Plano, TX",Electronic Data Systems,5.0,2005.0
3,812.0,US,2,2015,"Phoenix, Arizona Area",Sogeti Group,9.0,2013.0
4,812.0,US,8,2013,"Tempe, AZ",US Airways,12.0,2006.0
0,813.0,US,8,2013,Redwood Shores,Oracle,12.0,2009.0
1,813.0,US,7,2015,Redwood Shores,Oracle Corporation,8.0,2013.0
2,813.0,US,12,2009,Redwood Shores,Oracle,12.0,2007.0
3,813.0,US,12,2007,Redwood Shores,Oracle,6.0,2006.0
4,813.0,US,Present,Present,,Oracle,8.0,2015.0
0,814.0,US,Present,2014,,EY,,2013.0
1,814.0,US,Present,2013,,Ernst & Young,,2003.0
2,814.0,US,Present,Present,,EY,,2014.0
0,815.0,,10,2014,"Santa Clara, CA","Oceanleap, Inc.",11.0,2013.0
1,815.0,,11,2015,"Palo Alto, CA","Magnet Systems, Inc.",1.0,2015.0
2,815.0,,1,2014,Mountain View,Sonoma Wire Works,10.0,2011.0
3,815.0,,Present,Present,"Mountain View, CA","Jiff, Inc.",1.0,2016.0
4,815.0,,1,2015,,"Oceanleap, Inc.",10.0,2014.0
5,815.0,,1,2008,,Digital Clubhouse Network,1.0,1998.0
0,816.0,,3,2017,,"Motiga, Inc.",12.0,2013.0
1,816.0,,Present,Present,,Freelancing,10.0,2011.0
2,816.0,,Present,Present,,Drifter Entertainment,3.0,2017.0
3,816.0,,12,2013,,Avalanche Studios,10.0,2012.0
4,816.0,,9,2012,,343 Industries,10.0,2011.0
0,817.0,,4,2007,"San Francisco, California","Morgan, Lewis & Bockius LLP",2.0,2003.0
1,817.0,,Present,Present,"San Francisco, California",Big Heart Pet Brands (formerly Del Monte Corporation),1.0,2010.0
2,817.0,,11,1998,"San Francisco, California",Morrison & Foerster LLP,5.0,1997.0
3,817.0,,12,2009,"Phoenix, Arizona",Squire Sanders,5.0,2008.0
4,817.0,,2,2003,"San Francisco, California",Brobeck Phleger & Harrison LLP,11.0,1998.0
0,818.0,,8,2011,"Decatur, Illinois Area",Archer Daniels Midland,5.0,2011.0
1,818.0,,2,2016,"Mountain View, California",LinkedIn,7.0,2014.0
2,818.0,,Present,Present,"Mountain View, CA",LinkedIn,3.0,2016.0
3,818.0,,8,2012,"Lisle, IL",Lextech Global Services,5.0,2012.0
4,818.0,,8,2013,"Mountain View, California",LinkedIn,5.0,2013.0
0,820.0,,9,2011,Greater Atlanta Area,Georgia Game Developers Association,10.0,2008.0
1,820.0,,6,2011,Greater Atlanta Area,Thrust Interactive,3.0,2011.0
2,820.0,,6,2011,Greater Atlanta Area,Thrust Interactive,10.0,2008.0
3,820.0,,Present,Present,"Novato, CA",Hangar 13,12.0,2014.0
4,820.0,,12,2014,"San Rafael, CA",Telltale Games,6.0,2011.0
5,820.0,,9,2011,,Georgia Game Developers Association,10.0,2008.0
0,822.0,,Present,Present,,Sainsbury's,6.0,2013.0
1,822.0,,Present,Present,"London, United Kingdom",Lloyds Register,8.0,2011.0
2,822.0,,Present,Present,Maidenhead,Inscope Project Management Services,8.0,2011.0
3,822.0,,9,2016,"London, United Kingdom",Capgemini / Inspire Corporation,10.0,2015.0
4,822.0,,Present,Present,"Reading, United Kingdom",Computacenter,12.0,2016.0
0,823.0,,Present,Present,NYC,Rocket Fuel,8.0,2013.0
1,823.0,,3,2011,,InvestingChannel,11.0,2008.0
2,823.0,,7,2013,Greater New York City Area,Rocket Fuel Inc.,3.0,2011.0
3,823.0,,11,2008,,TheStreet.com,4.0,2006.0
4,823.0,,Present,Present,Greater New York City Area,Rocket Fuel Inc.,3.0,2017.0
0,824.0,,Present,Present,"Southfield, MI",Federal-Mogul,2.0,2006.0
1,824.0,,Present,2001,,FCI,,1999.0
2,824.0,,Present,2006,"Dearborn, MI",Lear Corporation,,2001.0
0,825.0,,8,2008,,Takeda Pharmaceuticals,5.0,2008.0
1,825.0,,Present,Present,"Houston, Texas Area",DM Clinical Research,2.0,2009.0
0,826.0,,9,2014,"Sunnyvale, CA",NetApp,11.0,2012.0
1,826.0,,11,2012,,"SAP Labs, Palo Alto, CA",7.0,2010.0
2,826.0,,Present,Present,,Splunk,1.0,2016.0
3,826.0,,12,2015,"Santa Clara, CA",Citrix,9.0,2014.0
4,826.0,,11,2009,,Autodesk Manufacturing Division,6.0,2007.0
0,827.0,,Present,Present,"Toronto, Canada Area",Deloitte Canada,11.0,2011.0
1,827.0,,6,2011,Islamabad,IBM Global Services,12.0,2007.0
0,829.0,,Present,Present,"Frankfurt Am Main Area, Germany",Crytek,7.0,2016.0
1,829.0,,5,2016,"Berlin Area, Germany",MoBerries,8.0,2015.0
2,829.0,,6,2016,"Frankfurt am Main und Umgebung, Deutschland",Freelancer,5.0,2016.0
3,829.0,,7,2015,Dublin,eBay Inc,2.0,2015.0
4,829.0,,1,2015,Galway,Freelancer,9.0,2014.0
0,830.0,,4,2011,,Ubisoft,2.0,2011.0
1,830.0,,8,2010,,Simthetiq,6.0,2010.0
2,830.0,,6,2011,,Ubisoft Summer School,6.0,2011.0
3,830.0,,Present,Present,Greater Los Angeles Area,Santa Monica Studio,12.0,2015.0
4,830.0,,10,2015,"Montreal, Canada Area",Ubisoft,2.0,2012.0
0,831.0,,4,2010,"Provo, Utah Area",Microsoft,9.0,2008.0
1,831.0,,1,2015,"Houston, Texas Area",ExxonMobil,9.0,2013.0
2,831.0,,9,2013,"Houston, Texas Area",ExxonMobil,5.0,2010.0
3,831.0,,1,2016,"Houston, Texas Area",ExxonMobil,1.0,2015.0
4,831.0,,Present,Present,"Bellevue, WA","Expedia, Inc.",1.0,2016.0
5,831.0,,Present,Present,,United Way of Greater Houston,9.0,2010.0
0,832.0,,Present,Present,,Apple Inc.,,2007.0
1,832.0,,11,2007,,National Instruments,3.0,2000.0
0,833.0,,Present,Present,"London, United Kingdom",BrightLocal SEO,,2010.0
1,833.0,,Present,Present,"London, United Kingdom",Brightfish Software,12.0,2009.0
2,833.0,,1,2009,,Global Radio,4.0,2008.0
3,833.0,,12,2009,,IPC Media,3.0,2009.0
4,833.0,,4,2008,,Yahoo!,12.0,2007.0
0,834.0,,2,2012,San Francisco.,Topspin Media,9.0,2010.0
1,834.0,,Present,Present,San Francisco Bay Area,Yelp,10.0,2013.0
2,834.0,,6,2012,San Francisco Bay Area,"goBalto, Inc.",11.0,2011.0
3,834.0,,10,2013,San Francisco Bay Area,"Rewarder, Inc.",3.0,2013.0
4,834.0,,12,2012,United States,Givegoods Inc,8.0,2012.0
0,835.0,,3,2012,"Austin, Texas Area",Y&R Austin / SicolaMartin,4.0,2011.0
1,835.0,,2,2011,"Austin, Texas Area","SNAPPatx (Federal Transit Administration, Grant Program)",12.0,2009.0
2,835.0,,Present,Present,Greater New York City Area,Square,3.0,2017.0
3,835.0,,3,2017,San Francisco Bay Area,Square,3.0,2012.0
4,835.0,,4,2011,"Austin, Texas Area",University of Texas at Austin,8.0,2008.0
0,836.0,,Present,Present,San Francisco Bay Area,Salesforce,3.0,2015.0
1,836.0,,2,2015,Greater Seattle Area,Hitachi Data Systems,3.0,2014.0
2,836.0,,2,2014,Greater Seattle Area,Amazon.com,1.0,2011.0
3,836.0,,7,2009,,Advanced Research Lab,10.0,2008.0
4,836.0,,12,2010,Dallas/Fort Worth Area,SNRLabs Corporation,7.0,2009.0
0,837.0,,Present,Present,San Francisco Bay Area,Sledgehammer Games,9.0,2016.0
1,837.0,,8,2012,"Amsterdam Area, Netherlands",Little Chicken Game Company,8.0,2011.0
2,837.0,,8,2016,Greater Chicago Area,Play Mechanix,8.0,2013.0
3,837.0,,5,2013,Greater Chicago Area,Play Mechanix,1.0,2013.0
0,838.0,,8,2016,"Malmo, Sweden",IKEA Group,7.0,2015.0
1,838.0,,Present,Present,"Malmo, Sweden",IKEA Group,9.0,2016.0
2,838.0,,3,2014,"Shanghai City, China",IKEA Retail China,,2010.0
3,838.0,,4,2010,,IKEA,,2007.0
4,838.0,,6,2015,"Shanghai City, China",IKEA Retail China,3.0,2014.0
0,840.0,,12,2013,,University of Utah School of Medicine,4.0,2012.0
1,840.0,,4,2012,,Brigham Young University,8.0,2009.0
2,840.0,,1,2012,,Antarctica Logistics and Expeditions,5.0,2009.0
3,840.0,,Present,Present,,University of Utah School of Medicine,1.0,2014.0
0,841.0,,11,2004,,WELCO CGI GAS TECHNOLOGIES,8.0,2002.0
1,841.0,,11,2008,,New York Blood Center,1.0,2005.0
2,841.0,,8,2002,,LILY TRANSPORTATION INC,6.0,2001.0
3,841.0,,Present,Present,,New York Blood Center,12.0,2008.0
4,841.0,,6,2000,,NITTA CASINGS INC,10.0,1997.0
0,842.0,,6,2014,Dublin,Al-Noor Islamic School,9.0,2013.0
1,842.0,,6,2015,"ZÃ¼rich Area, Switzerland",ProVi Swiss,5.0,2015.0
2,842.0,,1,2015,Ireland,Aisling Nursery and Montessori School,9.0,2014.0
3,842.0,,Present,Present,,CPL/ Facebook,6.0,2016.0
4,842.0,,5,2015,,Word Perfect Translations,5.0,2014.0
5,842.0,,Present,Present,,Islamic Relief Worldwide,,
6,842.0,,Present,Present,,Soccer Against Racism Ireland,,
7,842.0,,Present,Present,,Diverse City Soccer,,
0,843.0,,Present,Present,"San Luis Obispo, California Area",Amazon.com,7.0,2014.0
1,843.0,,4,2013,"Mountain View, CA",Study.com,11.0,2010.0
2,843.0,,7,2014,San Francisco Bay Area,ClearSlide,3.0,2014.0
3,843.0,,11,2010,"Foster City, CA",Study.com,6.0,2006.0
4,843.0,,6,2006,"San Luis Obispo, California Area",Study.com,6.0,2004.0
5,843.0,,5,2012,,St. Bernard Project,5.0,2012.0
6,843.0,,Present,Present,,OneBrick.org,3.0,2011.0
7,843.0,,3,2013,,St. Bernard Project,3.0,2013.0
