,cand_id,country,ethnicity,candidate_country
0,801.0,US,White/Caucasian,US
1,801.0,US,White/Caucasian,US
2,801.0,US,White/Caucasian,US
3,801.0,US,White/Caucasian,US
4,801.0,US,White/Caucasian,US
5,802.0,US,White/Caucasian,US
6,802.0,US,White/Caucasian,US
7,802.0,US,White/Caucasian,US
8,802.0,US,White/Caucasian,US
9,802.0,US,White/Caucasian,US
10,803.0,US,White/Caucasian,FR
11,803.0,FR,White/Caucasian,FR
12,803.0,FR,White/Caucasian,FR
13,803.0,FR,White/Caucasian,FR
14,804.0,US,Asian,US
15,804.0,US,Asian,US
16,804.0,US,Asian,US
17,804.0,US,Asian,US
18,805.0,US,White/Caucasian,US
19,805.0,US,White/Caucasian,US
20,805.0,US,White/Caucasian,US
21,805.0,US,White/Caucasian,US
22,805.0,US,White/Caucasian,US
23,805.0,,White/Caucasian,US
24,805.0,,White/Caucasian,US
25,805.0,US,White/Caucasian,US
26,806.0,US,White/Caucasian,US
27,806.0,US,White/Caucasian,US
28,806.0,US,White/Caucasian,US
29,806.0,US,White/Caucasian,US
30,806.0,US,White/Caucasian,US
31,807.0,US,White/Caucasian,US
32,807.0,US,White/Caucasian,US
33,807.0,GB,White/Caucasian,US
34,807.0,US,White/Caucasian,US
35,807.0,US,White/Caucasian,US
36,808.0,US,Other/Multiracial,US
37,808.0,US,Other/Multiracial,US
38,808.0,US,Other/Multiracial,US
39,808.0,US,Other/Multiracial,US
40,809.0,SE,White/Caucasian,SE
41,809.0,SE,White/Caucasian,SE
42,809.0,SE,White/Caucasian,SE
43,809.0,SE,White/Caucasian,SE
44,809.0,SE,White/Caucasian,SE
45,810.0,GB,White/Caucasian,GB
46,810.0,,White/Caucasian,GB
47,810.0,GB,White/Caucasian,GB
48,810.0,GB,White/Caucasian,GB
49,810.0,GB,White/Caucasian,GB
50,811.0,GB,Hispanic/Latino,GB
51,811.0,ES,Hispanic/Latino,GB
52,811.0,GB,Hispanic/Latino,GB
53,811.0,PL,Hispanic/Latino,GB
54,811.0,GB,Hispanic/Latino,GB
55,812.0,US,Asian,US
56,812.0,US,Asian,US
57,812.0,US,Asian,US
58,812.0,US,Asian,US
59,812.0,US,Asian,US
60,813.0,US,Asian,US
61,813.0,US,Asian,US
62,813.0,US,Asian,US
63,813.0,US,Asian,US
64,813.0,US,Asian,US
65,814.0,US,White/Caucasian,SE
66,814.0,US,White/Caucasian,SE
67,814.0,US,White/Caucasian,SE
68,815.0,,White/Caucasian,US
69,815.0,,White/Caucasian,US
70,815.0,,White/Caucasian,US
71,815.0,,White/Caucasian,US
72,815.0,,White/Caucasian,US
73,815.0,,White/Caucasian,US
74,816.0,,White/Caucasian,US
75,816.0,,White/Caucasian,US
76,816.0,,White/Caucasian,US
77,816.0,,White/Caucasian,US
78,816.0,,White/Caucasian,US
79,817.0,,Hispanic/Latino,US
80,817.0,,Hispanic/Latino,US
81,817.0,,Hispanic/Latino,US
82,817.0,,Hispanic/Latino,US
83,817.0,,Hispanic/Latino,US
84,818.0,,White/Caucasian,US
85,818.0,,White/Caucasian,US
86,818.0,,White/Caucasian,US
87,818.0,,White/Caucasian,US
88,818.0,,White/Caucasian,US
89,820.0,,White/Caucasian,US
90,820.0,,White/Caucasian,US
91,820.0,,White/Caucasian,US
92,820.0,,White/Caucasian,US
93,820.0,,White/Caucasian,US
94,820.0,,White/Caucasian,US
95,822.0,,White/Caucasian,GB
96,822.0,,White/Caucasian,GB
97,822.0,,White/Caucasian,GB
98,822.0,,White/Caucasian,GB
99,822.0,,White/Caucasian,GB
100,823.0,,White/Caucasian,US
101,823.0,,White/Caucasian,US
102,823.0,,White/Caucasian,US
103,823.0,,White/Caucasian,US
104,823.0,,White/Caucasian,US
105,824.0,,White/Caucasian,US
106,824.0,,White/Caucasian,US
107,824.0,,White/Caucasian,US
108,825.0,,Asian,US
109,825.0,,Asian,US
110,826.0,,White/Caucasian,US
111,826.0,,White/Caucasian,US
112,826.0,,White/Caucasian,US
113,826.0,,White/Caucasian,US
114,826.0,,White/Caucasian,US
115,827.0,,Asian,CA
116,827.0,,Asian,CA
117,829.0,,White/Caucasian,DE
118,829.0,,White/Caucasian,DE
119,829.0,,White/Caucasian,DE
120,829.0,,White/Caucasian,DE
121,829.0,,White/Caucasian,DE
122,830.0,,White/Caucasian,US
123,830.0,,White/Caucasian,US
124,830.0,,White/Caucasian,US
125,830.0,,White/Caucasian,US
126,830.0,,White/Caucasian,US
127,831.0,,White/Caucasian,US
128,831.0,,White/Caucasian,US
129,831.0,,White/Caucasian,US
130,831.0,,White/Caucasian,US
131,831.0,,White/Caucasian,US
132,831.0,,White/Caucasian,US
133,832.0,,White/Caucasian,US
134,832.0,,White/Caucasian,US
135,833.0,,White/Caucasian,GB
136,833.0,,White/Caucasian,GB
137,833.0,,White/Caucasian,GB
138,833.0,,White/Caucasian,GB
139,833.0,,White/Caucasian,GB
140,834.0,,White/Caucasian,US
141,834.0,,White/Caucasian,US
142,834.0,,White/Caucasian,US
143,834.0,,White/Caucasian,US
144,834.0,,White/Caucasian,US
145,835.0,,White/Caucasian,US
146,835.0,,White/Caucasian,US
147,835.0,,White/Caucasian,US
148,835.0,,White/Caucasian,US
