,cand_id,country,ethnicity,candidate_country
0,801.0,US,White/Caucasian,US
1,801.0,US,White/Caucasian,US
2,801.0,US,White/Caucasian,US
3,801.0,US,White/Caucasian,US
4,801.0,US,White/Caucasian,US
5,801.0,US,White/Caucasian,US
6,802.0,US,White/Caucasian,US
7,802.0,MX,White/Caucasian,US
8,802.0,US,White/Caucasian,US
9,803.0,,White/Caucasian,FR
10,803.0,MQ,White/Caucasian,FR
11,803.0,,White/Caucasian,FR
12,804.0,US,Asian,US
13,804.0,US,Asian,US
14,804.0,US,Asian,US
15,805.0,US,White/Caucasian,US
16,805.0,US,White/Caucasian,US
17,806.0,US,White/Caucasian,US
18,806.0,CH,White/Caucasian,US
19,806.0,CH,White/Caucasian,US
20,806.0,US,White/Caucasian,US
21,807.0,US,White/Caucasian,US
22,807.0,US,White/Caucasian,US
23,807.0,US,White/Caucasian,US
24,808.0,US,Other/Multiracial,US
25,809.0,SE,White/Caucasian,SE
26,809.0,SE,White/Caucasian,SE
27,809.0,SE,White/Caucasian,SE
28,809.0,SE,White/Caucasian,SE
29,809.0,US,White/Caucasian,SE
30,810.0,GB,White/Caucasian,GB
31,810.0,GB,White/Caucasian,GB
32,810.0,GB,White/Caucasian,GB
33,811.0,PT,Hispanic/Latino,GB
34,811.0,ES,Hispanic/Latino,GB
35,811.0,ES,Hispanic/Latino,GB
36,811.0,ES,Hispanic/Latino,GB
37,811.0,ES,Hispanic/Latino,GB
38,811.0,PT,Hispanic/Latino,GB
39,812.0,US,Asian,US
40,812.0,IN,Asian,US
41,812.0,US,Asian,US
42,812.0,IN,Asian,US
43,812.0,IN,Asian,US
44,813.0,US,Asian,US
45,813.0,IN,Asian,US
46,813.0,IN,Asian,US
47,813.0,IN,Asian,US
48,813.0,US,Asian,US
49,814.0,TT,White/Caucasian,SE
50,814.0,BE,White/Caucasian,SE
51,815.0,US,White/Caucasian,US
52,815.0,US,White/Caucasian,US
53,815.0,US,White/Caucasian,US
54,815.0,,White/Caucasian,US
55,815.0,,White/Caucasian,US
56,815.0,,White/Caucasian,US
57,816.0,,White/Caucasian,US
58,816.0,,White/Caucasian,US
59,816.0,,White/Caucasian,US
60,816.0,,White/Caucasian,US
61,816.0,,White/Caucasian,US
62,817.0,,Hispanic/Latino,US
63,817.0,,Hispanic/Latino,US
64,818.0,,White/Caucasian,US
65,818.0,,White/Caucasian,US
66,820.0,,White/Caucasian,US
67,820.0,,White/Caucasian,US
68,822.0,,White/Caucasian,GB
69,822.0,,White/Caucasian,GB
70,823.0,,White/Caucasian,US
71,823.0,,White/Caucasian,US
72,824.0,,White/Caucasian,US
73,824.0,,White/Caucasian,US
74,824.0,,White/Caucasian,US
75,825.0,,Asian,US
76,825.0,,Asian,US
77,825.0,,Asian,US
78,826.0,,White/Caucasian,US
79,826.0,,White/Caucasian,US
80,826.0,,White/Caucasian,US
81,826.0,,White/Caucasian,US
82,826.0,,White/Caucasian,US
83,826.0,,White/Caucasian,US
84,827.0,,Asian,CA
85,827.0,,Asian,CA
86,827.0,,Asian,CA
87,827.0,,Asian,CA
88,829.0,,White/Caucasian,DE
89,829.0,,White/Caucasian,DE
90,829.0,,White/Caucasian,DE
91,830.0,,White/Caucasian,US
92,830.0,,White/Caucasian,US
93,832.0,,White/Caucasian,US
94,832.0,,White/Caucasian,US
95,833.0,,White/Caucasian,GB
96,833.0,,White/Caucasian,GB
97,834.0,,White/Caucasian,US
98,834.0,,White/Caucasian,US
99,835.0,,White/Caucasian,US
100,835.0,,White/Caucasian,US
101,836.0,,Asian,US
102,836.0,,Asian,US
103,837.0,,White/Caucasian,US
104,837.0,,White/Caucasian,US
105,837.0,,White/Caucasian,US
106,837.0,,White/Caucasian,US
107,838.0,,White/Caucasian,SE
108,838.0,,White/Caucasian,SE
109,838.0,,White/Caucasian,SE
110,838.0,,White/Caucasian,SE
111,840.0,,White/Caucasian,US
112,840.0,,White/Caucasian,US
113,841.0,,White/Caucasian,US
114,841.0,,White/Caucasian,US
115,841.0,,White/Caucasian,US
116,841.0,,White/Caucasian,US
117,841.0,,White/Caucasian,US
118,842.0,,Asian,IE
119,842.0,,Asian,IE
120,843.0,,White/Caucasian,US
121,843.0,,White/Caucasian,US
122,844.0,,White/Caucasian,GB
123,844.0,,White/Caucasian,GB
124,845.0,,White/Caucasian,AT
125,845.0,,White/Caucasian,AT
126,845.0,,White/Caucasian,AT
127,845.0,,White/Caucasian,AT
128,845.0,,White/Caucasian,AT
129,846.0,,White/Caucasian,CH
130,846.0,,White/Caucasian,CH
131,847.0,,White/Caucasian,US
132,847.0,,White/Caucasian,US
133,848.0,,White/Caucasian,US
134,848.0,,White/Caucasian,US
135,849.0,,White/Caucasian,DE
136,849.0,,White/Caucasian,DE
137,849.0,,White/Caucasian,DE
138,850.0,,White/Caucasian,GB
139,851.0,,Asian,US
140,851.0,,Asian,US
141,852.0,,White/Caucasian,US
142,852.0,,White/Caucasian,US
143,853.0,,White/Caucasian,GB
144,853.0,,White/Caucasian,GB
145,853.0,,White/Caucasian,GB
146,854.0,,Asian,US
147,854.0,,Asian,US
148,854.0,,Asian,US
149,854.0,,Asian,US
150,857.0,,Asian,US
151,857.0,,Asian,US
152,857.0,,Asian,US
