cand_id,country,endYear,name,startYear
0,US,Present,b'Foothill College',
0,CZ,2007,b'ASEM',2002
0,US,2006,b'MSU',2001
0,US,Present,b'Foothill College',
1,CN,Present,b'Lanzhou University',
1,CN,2003,b'Lanzhou University',1999
1,CN,2006,b'Lanzhou University',2003
2,US,Present,b'Udacity',
2,RU,2010,b'Kuban State University',2005
2,US,2016,b'Udacity',2015
3,US,2007,b'Michigan Techological University',2005
4,US,Present,b'San Francisco State University',
4,BY,1991,b'Belarusian State Agrarian Technical University',1985
4,US,2003,b'San Francisco State University',2002
4,ET,1984,b'Addis Ababa Tegbareed Industrial Technology College',1982
5,CA,Present,b'Ryerson University',
5,CA,2006,b'Ryerson University',2001
6,US,Present,b'Oakland Community College',
6,US,Present,b'Central Michigan University',
6,US,Present,b'De Anza College',
6,US,1999,b'De Anza College',1997
6,US,2000,b'Oakland Community College',1999
6,US,2003,b'Central Michigan University',2000
7,RU,Present,b'Novosibirsk State University (NSU)',
7,RU,Present,b'Novosibirsk State University (NSU)',
8,US,Present,b'Drexel University',
8,US,Present,b'Philadelphia University',
8,US,1994,b'Philadelphia University',1992
8,US,1998,b'Delaware Technical Community College',1996
8,US,2007,b'Drexel University',2000
9,US,Present,"b'University of California, Santa Cruz'",
9,PH,Present,b'University of the Philippines',
9,US,Present,b'Stanford University',
9,US,2004,"b'University of California, Santa Cruz'",2002
9,PH,1990,b'University of the Philippines',1985
9,US,1993,b'Stanford University',1991
10,US,Present,b'Old Dominion University',
10,US,Present,b'Eastern Washington University',
10,US,Present,b'University of Idaho',
10,US,1986,b'University of Idaho',1985
10,US,1987,b'Eastern Washington University',1986
10,US,1989,b'Old Dominion University',1988
11,US,Present,b'University of Michigan',
11,US,2008,b'University of Michigan',2003
11,US,Present,b'University of Michigan',
11,US,2008,b'University of Michigan',2003
12,CN,Present,b'Tsinghua University',
12,CN,2000,b'Tsinghua University',1991
13,CN,Present,b'Zhejiang University',
13,HK,Present,b'The University of Hong Kong',
13,US,Present,b'Arizona State University',
13,HK,2006,b'The University of Hong Kong',2005
13,CN,2007,b'Zhejiang University',2002
13,US,2009,b'Arizona State University',2007
14,US,Present,b'California Polytechnic State University-San Luis Obispo',
14,US,2009,b'California Polytechnic State University-San Luis Obispo',
15,IN,Present,b'Cochin University of Science and Technology',
15,IN,2004,b'Cochin University of Science and Technology',2000
16,US,Present,b'University of Pennsylvania',
16,US,Present,b'New York University',
16,US,2003,b'University of Pennsylvania',1999
16,US,1998,b'New York University',1996
16,US,Present,b'University of Pennsylvania',
16,US,Present,b'New York University',
16,US,2003,b'University of Pennsylvania',1999
16,US,1998,b'New York University',1996
17,US,Present,b'Ohlone College',
17,US,2007,b'Ohlone College',2003
17,US,2007,b'Ohlone College',2003
