cand_id,country,endYear,name,startYear
963,AU,2010,b'University of Melbourne',2008
964,AU,Present,b'Charles Sturt University',
964,AU,2008,b'Cheltenham Girls High School',2003
964,AU,2012,b'Charles Sturt University',2010
971,AU,Present,b'Southern Cross University',
971,AU,2009,b'Southern Cross University',2008
971,AU,2008,b'Macleay College',2007
972,AU,Present,b'Macquarie University',
972,AU,2012,b'Sydney Institute of Business and Technology',2012
972,AU,2014,b'Macquarie University',2013
972,IN,2011,b'Stella Maris College',2006
973,AU,Present,b'Pittwater House',
974,AU,2015,b'Swinburne University of Technology',2013
974,AU,2009,b'Club training Qld',2008
974,AU,2012,b'TAFE',2009
975,,Present,b'Griffith University',
975,,Present,b'Griffith University',2009
975,AU,2014,b'Open University Australia',2009
976,AU,2009,b'Emmaus Catholic College',2003
977,AU,Present,b'Macquarie University',
977,ID,2012,b'STIE IT&B Campus',2008
977,AU,2014,b'Macquarie University',2013
977,AU,2013,"b'CME, Macquarie University'",2012
979,AU,Present,b'University of Wollongong',
979,AU,2010,b'University of Wollongong',2008
979,AU,2009,b'TAFE NSW',2008
980,AU,Present,b'RMIT University',
980,US,Present,b'General Assembly',
980,TR,2016,b'Google Adwords Certified',
980,AU,2014,b'RMIT University',2014
980,US,2017,b'General Assembly',2017
981,AU,2012,"b'University of Technology, Sydney'",2009
981,AU,2014,"b'University of Technology, Sydney'",2012
982,AU,Present,b'Macquarie University',
982,AU,2007,b'Cheltenham Girls High School',2000
982,AU,2012,b'Macquarie University',2009
983,,Present,b'Bond University',
983,US,Present,b'Northwestern University Pritzker School of Law',
983,AU,2009,"b""Lauriston Girls' School""",1997
983,AU,2013,b'Bond University',2011
983,US,2013,b'Northwestern University School of Law',2012
984,AU,Present,b'The University of Queensland',
984,AU,Present,b'The University of Queensland',
985,NZ,2007,b'AUT University',2006
985,AU,2010,b'CQ University',2009
986,NZ,Present,b'University of Canterbury',
986,NZ,2012,b'University of Canterbury',2010
986,NZ,2006,b'Christchurch Girls High School',2002
986,NZ,2009,b'University of Canterbury',2007
988,AU,Present,b'University of Canberra',
988,AU,Present,b'University of Canberra',2003
988,MY,Present,"b'Institute of Advertising Communication Training (IACT), Malaysia'",
989,AU,Present,b'Western Sydney University',
989,AU,2004,b'Real Estate Institute NSW',2003
989,AU,2000,b'University of Western Sydney',1998
989,AU,1996,b'Winmalee High School',1990
990,AU,Present,b'De La Salle College Ashfield',
991,AU,Present,b'Monash University',
991,AU,2003,b'Monash University',2000
992,AU,2003,"b""St Michael's Grammer School""",2001
992,AU,2005,"b""St Michael's Grammar School""",2003
992,GB,2008,b'The University of Glasgow',2005
994,AU,Present,b'Monash University',
994,AU,2010,b'Monash University',2007
995,,Present,b'Universidade Jorge Amado \xc3\xa2\xc2\x80\xc2\x93 Brazil',2007
995,GB,Present,b'Cambridge Certificate in Advanced English Exam (CAE)',2013
995,BR,Present,b'Cuca School for Creatives',2009
996,AU,Present,b'University of New England (AU)',
996,AU,Present,"b""Saint Clare's College""",
996,AU,2015,b'University of New England (AU)',2010
997,GB,Present,b'Oxford Brookes University',
997,GB,2008,b'Luton Sixth Form College',2006
997,GB,2011,b'Oxford Brookes University',2008
998,GB,Present,b'University of Leeds',
998,GB,2001,b'Ibstock Place School',1988
998,GB,2007,b'University of Leeds',2004
998,GB,2003,b'Latymer Upper School',2001
999,AU,Present,b'University of Technology Sydney',
999,AU,Present,b'UNSW',
999,AU,2006,b'Glenaeon Rudolf Steinor School',1994
999,AU,2016,"b'University of Technology, Sydney'",2014
999,AU,2012,b'UNSW Australia',2009
1000,AU,Present,b'University of South Australia',
1000,US,2003,b'Wilderness School',1999
1000,AU,2007,b'University of South Australia',2005
1001,AU,Present,b'University of Newcastle',
1001,AU,Present,b'TAFE NSW',
1001,GB,2003,"b""St Columba's High School""",2002
1001,AU,2009,b'University of Newcastle',2007
1001,AU,2006,b'TAFE',2006
1003,AU,Present,b'University of South Australia',
1003,AU,2006,b'Adelaide institute of Tafe',
1003,AU,2004,b'University of South Australia',
1003,US,2014,b'Academy of Makeup',
1004,AU,Present,b'Queensland College Of Art  Griffith University.',
1005,AU,2011,b'Granville College - TAFE NSW - South Western Sydney Institute',2009
1005,US,Present,b'Evans High School',
1007,AU,Present,b'University of Sydney',
1007,AU,2003,b'Coffs Harbour Senior College',2002
1007,AU,2007,b'University of Sydney',2004
1008,GB,Present,b'The University of Manchester',
1008,GB,2001,b'The University of Manchester',1998
1009,,Present,b'Bachelor of Science with Honours',
1010,IN,Present,b'AIM Education & Training',
1010,AU,Present,b'Macquarie University',
1010,AU,2008,b'UTS',
1010,IN,2012,b'AIM Education & Training',
1010,AU,1997,b'Macquarie University',1995
1011,AU,Present,b'University of Newcastle',
1011,AU,Present,b'University of Newcastle',
1013,AU,Present,b'Mosman High School',
1014,AU,Present,b'University of Sydney',
1014,AU,2006,b'University of Sydney',2003
1014,GB,Present,b'Trinity Catholic College',
1016,FR,Present,b'Aix-Marseille University',
1016,US,Present,b'General Assembly',
1016,,2008,b'Universit\xc3\x83\xc2\xa9 de la M\xc3\x83\xc2\xa9diterran\xc3\x83\xc2\xa9e (Aix-Marseille II)',2007
1016,US,2015,b'General Assembly',2015
1016,,2010,b'ISAFI School of International Business',2008
1017,AU,Present,b'Macquarie University',
1017,AU,Present,b'Charles Sturt University',
1017,US,Present,b'Metro Screen',
1017,AU,Present,b'Macquarie University',
1017,AU,Present,b'Charles Sturt University',
1018,AU,Present,b'University of Wollongong',
1018,AU,Present,b'University of Technology Sydney',
1018,AU,Present,b'University of Wollongong',
1018,AU,Present,"b'University of Technology, Sydney'",
1019,NZ,Present,b'Auckland University of Technology',
1019,NZ,2008,b'Auckland University of Technology',2005
1020,GB,Present,b'Hopwood Hall College',
1020,GB,Present,b'Bolton Institute of Art and Design',
1020,IE,2013,b'Fitswilliam Institute',2013
1021,AU,Present,b'University of Sydney',
1021,AU,2010,b'University of Sydney',2007
1022,AU,Present,b'Marcellin College',
1024,AU,Present,b'RMIT University',
1024,AU,2007,b'Lowther Hall Anglican Grammer school',1995
1024,AU,Present,b'RMIT University',
1024,AU,2015,b'Whitehouse Institute of Design',2012
1025,NZ,Present,b'Victoria University of Wellington',
1025,NZ,2008,b'Wairarapa College',2004
1025,NZ,2012,b'Victoria University of Wellington',2009
