,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,963.0,AU,Present,2010.0,b'University of Melbourne',,2008.0
0,964.0,AU,Present,Present,b'Charles Sturt University',,
1,964.0,AU,Present,2008,b'Cheltenham Girls High School',,2003.0
2,964.0,AU,Present,2012,b'Charles Sturt University',,2010.0
0,971.0,AU,Present,Present,b'Southern Cross University',,
1,971.0,AU,Present,2009,b'Southern Cross University',,2008.0
2,971.0,AU,Present,2008,b'Macleay College',,2007.0
0,972.0,AU,Present,Present,b'Macquarie University',,
1,972.0,AU,Present,2012,b'Sydney Institute of Business and Technology',,2012.0
2,972.0,AU,Present,2014,b'Macquarie University',,2013.0
3,972.0,IN,Present,2011,b'Stella Maris College',,2006.0
0,973.0,AU,Present,Present,b'Pittwater House',,
0,974.0,AU,Present,2015,b'Swinburne University of Technology',,2013.0
1,974.0,AU,Present,2009,b'Club training Qld',,2008.0
2,974.0,AU,Present,2012,b'TAFE',,2009.0
0,975.0,,Present,Present,b'Griffith University',,
1,975.0,,Present,Present,b'Griffith University',,2009.0
2,975.0,AU,Present,2014,b'Open University Australia',,2009.0
0,976.0,AU,Present,2009,b'Emmaus Catholic College',,2003.0
0,977.0,AU,Present,Present,b'Macquarie University',,
1,977.0,ID,Present,2012,b'STIE IT&B Campus',,2008.0
2,977.0,AU,Present,2014,b'Macquarie University',,2013.0
3,977.0,AU,Present,2013,"b'CME, Macquarie University'",,2012.0
0,979.0,AU,Present,Present,b'University of Wollongong',,
1,979.0,AU,Present,2010,b'University of Wollongong',,2008.0
2,979.0,AU,Present,2009,b'TAFE NSW',,2008.0
0,980.0,AU,Present,Present,b'RMIT University',,
1,980.0,US,Present,Present,b'General Assembly',,
2,980.0,TR,Present,2016,b'Google Adwords Certified',,
3,980.0,AU,Present,2014,b'RMIT University',,2014.0
4,980.0,US,Present,2017,b'General Assembly',,2017.0
0,981.0,AU,Present,2012,"b'University of Technology, Sydney'",,2009.0
1,981.0,AU,Present,2014,"b'University of Technology, Sydney'",,2012.0
0,982.0,AU,Present,Present,b'Macquarie University',,
1,982.0,AU,Present,2007,b'Cheltenham Girls High School',,2000.0
2,982.0,AU,Present,2012,b'Macquarie University',,2009.0
0,983.0,,Present,Present,b'Bond University',,
