,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
0,0.0,US,4,2013,"Anaheim, CA",Pacific Sunwear,4.0,2012.0
1,0.0,US,Present,Present,"Orange County, California Area",Western Dental,3.0,2014.0
2,0.0,US,8,2011,Greater New York City Area,The Walt Disney Company,3.0,2007.0
3,0.0,US,4,2012,"Burbank, CA",Technicolor,8.0,2011.0
4,0.0,US,3,2007,"Lexington, Kentucky Area","Lexmark International, Inc",4.0,2000.0
0,1.0,DE,Present,Present,Stuttgart,zeb,7.0,2010.0
0,2.0,,Present,Present,,"Holaira, Inc.",7.0,2016.0
1,2.0,US,11,2012,"Maple Grove, MN",Boston Scientific,1.0,2007.0
2,2.0,US,Present,Present,"Plymouth, MN","Holaira, Inc.",4.0,2013.0
3,2.0,US,Present,Present,"Irvine, CA",Edwards Lifesciences,1.0,2017.0
4,2.0,US,1,2007,"Maple Grove, MN",Boston Scientific,2.0,2004.0
5,2.0,,Present,Present,,Feed My Starving Children,1.0,2006.0
6,2.0,,Present,Present,,Simpson Housing Services,10.0,2007.0
0,5.0,US,1,2012,PPD,PPD,5.0,2011.0
1,5.0,US,Present,Present,Home based,PAREXEL,1.0,2012.0
2,5.0,,2,2003,,"University of Maryland, Baltimore",1.0,2002.0
3,5.0,,9,2005,,"University of Maryland, Baltimore",2.0,2003.0
4,5.0,,8,2008,,"Technical Resources International, Inc",10.0,2005.0
0,6.0,US,Present,Present,"Everett, Washington",Community Transit,6.0,2016.0
1,6.0,US,12,2012,Seattle,"SeaBright Holdings, Inc.",11.0,2009.0
2,6.0,US,Present,Present,"Everett, WA",Community Transit,4.0,2016.0
3,6.0,US,11,2013,"Everett, WA",The Everett Clinic,12.0,2012.0
4,6.0,US,Present,Present,Seattle,Corbis,11.0,2013.0
5,6.0,,Present,Present,,Northwest Harvest,,
0,7.0,,Present,Present,,Paul Baker & Associates Limited,8.0,2011.0
1,7.0,,3,2016,,Vero Group,12.0,2015.0
2,7.0,,5,2011,,Carphone Warehouse,8.0,2009.0
3,7.0,,11,2015,,Land Securities,4.0,2014.0
4,7.0,,1,2014,,Jupiter Fund Management plc,8.0,2011.0
0,8.0,,7,2010,,Hallmark Global Technologies,7.0,2008.0
1,8.0,,Present,Present,,Bristol-Myers Squibb,4.0,2015.0
2,8.0,IN,6,2008,"Hyderabad Area, India",GVK Biosciences and ERP Business Solutions LTD,4.0,2004.0
3,8.0,,8,2011,,PharmaCare LLC,8.0,2010.0
4,8.0,US,4,2015,"Hopewell, NJ",Bristol-Myers Squibb,8.0,2011.0
0,9.0,US,Present,Present,Greater Minneapolis-St. Paul Area,Nevelex Corporation,2.0,2014.0
1,9.0,,8,2009,,University of Minnesota,,2002.0
2,9.0,US,2,2014,Greater Minneapolis-St. Paul Area,Adventium Labs,8.0,2011.0
3,9.0,,8,2011,,National Securirty Agency,9.0,2009.0
4,9.0,,8,2008,,Metropolitan State University,5.0,2008.0
0,11.0,,Present,2016,,Presence Labs,,2015.0
1,11.0,US,11,2015,Greater Seattle Area,IGT,7.0,2012.0
2,11.0,,4,2012,,Zipper Interactive,9.0,2004.0
3,11.0,,Present,2005,,Mad Doc Software,,2002.0
4,11.0,US,Present,Present,Greater Seattle Area,Presence Labs,11.0,2015.0
0,13.0,US,Present,Present,"Menlo Park, CA","GRAIL, Inc.",4.0,2017.0
1,13.0,US,Present,2005,"Palos Hills, IL","Easyway Management Group, Inc.",,2004.0
2,13.0,US,Present,2003,"Oak Lawn, IL",Cardiac Surgery Clinical Research Center,,2001.0
3,13.0,US,Present,2016,"Abbott Park, IL",Abbott,7.0,2011.0
4,13.0,US,7,2011,"Abbott Park, IL",Abbott Diagnostics,2.0,2005.0
5,13.0,,Present,Present,,United Way,5.0,2011.0
0,14.0,FR,7,2011,Saint Ouen,Danone,1.0,2011.0
1,14.0,FR,4,2015,Velizy,Dassault Syst̬mes,9.0,2012.0
2,14.0,FR,Present,Present,"Paris Area, France",Cloudreach,4.0,2015.0
3,14.0,FR,8,2012,Paris,Thales,2.0,2012.0
0,15.0,IN,Present,Present,Bangalore,Capgemini,5.0,2007.0
1,15.0,,Present,2005,,Infosys,,2003.0
2,15.0,,Present,Present,,Capgemini,5.0,2007.0
3,15.0,,Present,2006,,Firstsource Solutions Limited,,2006.0
4,15.0,,Present,2003,,Annapolis Technologies LLC,,2002.0
0,16.0,,10,2010,,Yahoo ! Inc,7.0,2006.0
1,16.0,US,9,2011,"Mountain view, CA",Microsoft,10.0,2010.0
2,16.0,US,Present,Present,"Mountain View, CA",Google Inc,9.0,2011.0
0,18.0,IE,Present,Present,Capita Life and Pensions Services (Ireland) Limited,Capita Life and Pensions Services (Ireland) Limited,7.0,2015.0
1,18.0,IE,7,2014,"Stephen's Court, 18/21 St. Stephens Green, Dublin 2.",Irish Bank Resolution Corporation Limited,6.0,2005.0
2,18.0,IE,6,2015,"Montague House, Adelaide Road, Dublin 2, Ireland",Capita Life and Pensions Services (Ireland) Limited,7.0,2014.0
3,18.0,,6,2005,,Various,6.0,2004.0
0,20.0,,Present,Present,,Bloomberg LP,8.0,2010.0
1,20.0,,Present,2004,,psl,,2003.0
2,20.0,,6,2008,,Electronic Arts,7.0,2006.0
3,20.0,,8,2010,,DiSTI,6.0,2008.0
4,20.0,,6,2006,,NASA Goddard Space Flight Center,1.0,2004.0
0,21.0,,Present,Present,,Yaana Technologies,2.0,2012.0
1,21.0,,Present,2010,,Efficere Technologies,,2009.0
2,21.0,,2,2009,,Personal Capital / Myvest,,2005.0
3,21.0,,2,2012,,Livescribe Inc.,3.0,2009.0
4,21.0,US,6,2005,San Francisco Bay Area,Open Enterprises,9.0,2004.0
0,22.0,CA,8,2004,"Richmond, British Columbia",Hewlett-Packard,1.0,2004.0
1,22.0,US,Present,Present,"Mountain View, CA",Google,8.0,2007.0
2,22.0,US,8,2005,"Redmond, WA",Microsoft,5.0,2005.0
3,22.0,US,8,2006,"Redmond, WA",Microsoft,5.0,2006.0
0,23.0,US,2,2015,"San Francisco, CA",Eventbrite,4.0,2014.0
1,23.0,US,Present,Present,San Francisco Bay Area,Groupon,5.0,2015.0
2,23.0,US,12,2011,"Brisbane, CA",Walmart Global eCommerce,6.0,2010.0
3,23.0,US,3,2014,"San Bruno, CA",@WalmartLabs,5.0,2013.0
4,23.0,US,5,2013,"San Bruno, CA",@WalmartLabs,12.0,2011.0
5,23.0,,9,2009,,Leukemia and Lymphoma Society - Team in Training,2.0,2005.0
0,24.0,US,8,2015,Washington D.C. Metro Area,Rally Health,6.0,2014.0
1,24.0,US,12,2016,San Francisco Bay Area,Rally Health,8.0,2015.0
2,24.0,US,6,2014,"McLean, VA",MITRE,4.0,2013.0
3,24.0,US,Present,Present,San Francisco Bay Area,Amino,12.0,2016.0
4,24.0,US,3,2013,"Arlington, VA",SAIC,6.0,2010.0
0,25.0,US,9,2012,Greater Denver Area,Statera,6.0,2010.0
1,25.0,US,Present,Present,Broomfield Colorado,Norris Consulting LLC,9.0,2009.0
2,25.0,US,5,2005,Global,Dell Professional Services,5.0,2002.0
3,25.0,US,10,2009,Global,Avanade,11.0,2005.0
4,25.0,US,Present,Present,Global,SoftwareONE,11.0,2016.0
0,26.0,,9,2016,,ThinkShield Ltd,3.0,2014.0
1,26.0,GB,12,2013,"London, United Kingdom",RBS Markets and International Banking,9.0,2013.0
2,26.0,,8,2013,,FDM Group,7.0,2010.0
3,26.0,,Present,Present,,Crownpeak,9.0,2016.0
0,27.0,,Present,Present,,"Bristol-Myers Squibb, Inc.",1.0,1994.0
0,28.0,,5,2009,,EDB Business Partner,10.0,2008.0
1,28.0,,12,2016,,Visma Retail AS,12.0,2015.0
