,cand_id,name,proficiency
0,8.0,English,NATIVE_OR_BILINGUAL
0,13.0,Arabic,ELEMENTARY
0,14.0,Allemand,PROFESSIONAL_WORKING
0,20.0,English,NATIVE_OR_BILINGUAL
0,31.0,English,FULL_PROFESSIONAL
0,41.0,English,NATIVE_OR_BILINGUAL
0,61.0,English,NATIVE_OR_BILINGUAL
0,66.0,Chinese,NATIVE_OR_BILINGUAL
0,68.0,English,PROFESSIONAL_WORKING
0,72.0,English,NATIVE_OR_BILINGUAL
0,73.0,English,PROFESSIONAL_WORKING
0,75.0,Spanish,ELEMENTARY
0,76.0,English,NATIVE_OR_BILINGUAL
0,80.0,English,NATIVE_OR_BILINGUAL
0,89.0,English,NATIVE_OR_BILINGUAL
0,98.0,Dutch,LIMITED_WORKING
0,99.0,English,PROFESSIONAL_WORKING
