,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,0.0,US,Present,Present,"University of California, Santa Barbara",,
1,0.0,US,Present,Present,Moorpark College,,
2,0.0,US,Present,Present,"University of California, Santa Barbara",,
3,0.0,US,Present,Present,Moorpark College,,
0,1.0,DE,Present,2009,TH Karlsruhe,,
0,2.0,US,Present,Present,University of St. Thomas - Opus College of Business,,
1,2.0,US,Present,Present,University of Iowa,,
2,2.0,US,Present,2008,University of Saint Thomas - School of Business,,2005.0
3,2.0,US,Present,1992,University of Iowa,,1988.0
0,5.0,US,Present,2013,University of Phoenix,,2010.0
1,5.0,US,Present,2001,Anne Arundel Community College,,1990.0
0,6.0,US,Present,Present,University of Phoenix,,
1,6.0,US,Present,2001,University of Phoenix,,1999.0
0,7.0,GB,Present,Present,St. Olaves Grammar School,,
1,7.0,GB,Present,1978,St. Olaves Grammar School,,1973.0
0,8.0,IN,Present,2004,"SRTM University, India",,2002.0
1,8.0,TR,Present,Present,SIVA,,
0,9.0,US,Present,Present,Carnegie Mellon University,,
1,9.0,US,Present,Present,University of Minnesota-Twin Cities,,
2,9.0,US,Present,1999,Carnegie Mellon University,,1995.0
3,9.0,US,Present,2008,University of Minnesota,,2002.0
0,11.0,US,Present,Present,Art Institute of Seattle,,
1,11.0,US,Present,1998,Art Institute of Seattle,,1996.0
0,13.0,US,Present,Present,Saint Xavier University,,
1,13.0,US,Present,Present,Saint Xavier University,,
2,13.0,US,Present,Present,Saint Xavier University,,
0,14.0,,Present,Present,J̦nk̦ping University,,
1,14.0,FR,Present,Present,Universit̩ de Technologie de Troyes,,
2,14.0,FR,Present,2012,Universit̩ de Technologie de Troyes,,2007.0
3,14.0,,Present,2011,J̦nk̦ping University,,2011.0
0,15.0,IN,Present,Present,"Indian Institute of Management, Indore",,
1,15.0,IN,Present,2007,"Indian Institute of Management, Indore",,2005.0
2,15.0,IN,Present,2001,Bangalore Institute of Technology,,1997.0
0,16.0,BD,Present,Present,Bangladesh University of Engineering and Technology,,
1,16.0,US,Present,Present,Rutgers University,,
2,16.0,BD,Present,2002,Bangladesh University of Engineering and Technology,,
3,16.0,US,Present,2006,"Rutgers, The State University of New Jersey-New Brunswick",,2004.0
0,18.0,IE,Present,2001,Senior College Dun Laoghaire,,1999.0
1,18.0,IE,Present,2004,"Dun Laoghaire Institute of Art, Design & technology",,2001.0
2,18.0,IE,Present,1999,Cabbinteely Community School,,1993.0
0,20.0,US,Present,Present,New Mexico State University,,
1,20.0,US,Present,2003,New Mexico State University,,1999.0
0,21.0,US,Present,Present,University of Phoenix,,
1,21.0,US,Present,Present,"University of California, Berkeley",,
2,21.0,US,Present,Present,AOLG,,
3,21.0,US,Present,1997,"University of California, Berkeley",,1993.0
4,21.0,US,Present,2003,University of Phoenix,,2001.0
0,22.0,CA,Present,Present,The University of British Columbia,,
1,22.0,CA,Present,2007,The University of British Columbia,,2002.0
0,23.0,US,Present,Present,University of California San Diego,,
1,23.0,GB,Present,Present,University of Sussex,,
2,23.0,GB,Present,Present,University of Sussex,,
3,23.0,US,Present,Present,UC San Diego,,
0,24.0,US,Present,Present,Georgia Institute of Technology,,
1,24.0,US,Present,Present,Cornell University,,
2,24.0,US,Present,2009,Georgia Institute of Technology,,2008.0
3,24.0,US,Present,2008,Cornell University,,2004.0
0,25.0,US,Present,Present,Indiana University Bloomington,,
1,25.0,US,Present,1997,Indiana University Bloomington,,1993.0
2,25.0,US,Present,1992,Brownsburg High School,,1989.0
0,26.0,GB,Present,Present,Durham University,,
1,26.0,GB,Present,2009,University of Durham,,2006.0
0,27.0,US,Present,Present,Thomas Edison State University,,
1,27.0,US,Present,Present,Thomas Edison State College,,
0,28.0,US,Present,Present,University of Washington - Michael G. Foster School of Business,,
1,28.0,NO,Present,Present,Norwegian School of Economics (NHH),,
